SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
-0.439318859651378,1.3218163049693654,0.9815557839637743,1.6599003993413788,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
-0.439318859651378,-0.26741022933725495,-0.9715455124063844,-0.5622521877037466,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
-0.439318859651378,1.4440644999160286,0.8370661472425127,1.756103949661117,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
-0.439318859651378,-1.2046463905950056,0.6410916974366633,-0.9083256719398274,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
-0.439318859651378,0.6698259319204956,-0.8087870710422046,-0.10156067732153597,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2.2762510145673045,1.2810669066538112,1.0629350046458643,1.814665498679414,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False
-0.439318859651378,-1.041648797332788,-0.023228471396724102,-0.8156380119926696,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False
-0.439318859651378,-0.43040782259947247,0.9367141725675209,-0.06352313835317878,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True
-0.439318859651378,-0.06366323775948311,-0.35372775539133416,-0.2877929954941682,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
-0.439318859651378,-1.0823981956483424,-0.5663102094180181,-0.8775396568649181,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
-0.439318859651378,-1.2861451872261143,-1.5212704521160125,-1.0031887890550197,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
-0.439318859651378,-1.0823981956483424,0.4667076531178991,-0.8206701300884257,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
-0.439318859651378,-0.8379018057550162,0.4916196594491511,-0.5716132458207426,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
-0.439318859651378,1.158818711707148,1.3735046835754727,1.9554988824160988,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
-0.439318859651378,0.4253295420271693,-1.5063232483172613,-0.6691572293450275,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
2.2762510145673045,-0.1044126360750375,-0.820412673996789,-0.4961314743844014,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
-0.439318859651378,-0.43040782259947247,-0.32715494863799877,-0.4872977998232925,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False
-0.439318859651378,0.7920741268671586,-1.3933888196155855,-0.46002767512096376,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
-0.439318859651378,-1.2861451872261143,-0.29061733935216244,-0.9869058217670055,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
-0.439318859651378,0.9958211184449305,0.9865381852300249,1.3919016556914172,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False
-0.439318859651378,1.607062093178246,-0.35871015665758454,0.7188283924905056,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False
-0.439318859651378,0.3845801437116149,1.288803862049216,0.8902500224686418,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
-0.439318859651378,-0.715653610808353,-1.501340847051011,-0.8916691412997265,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
-0.439318859651378,1.2810669066538112,0.5331396700012379,1.2452890271548036,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.2762510145673045,0.5883271352893868,0.6626821029237485,0.7542509879942559,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False
-0.439318859651378,-1.2453957889105598,-1.1940927689655694,-0.9919599141775901,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.439318859651378,-1.2861451872261143,-1.488054443674343,-1.002749302758447,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
